channel,artifact,strength,why,vantage
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",RDP Bitmap Cache,moderate,"Content of a successful RDP session, not the reset flood.",host
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",RDP Logs,strong,RDP session logs.,host
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",Security Event Log,strong,4624/4625/4778 on 3389/5985 and 5140 on 445.,host
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",Terminal Services / RDP Event Logs,strong,RDP accept/fail for 3389.,host
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",Windows Firewall Log,strong,Denied inbound and later allowed outbound.,host
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",PCAP / PCAPNG,moderate,Reset flood and follow-on sessions.,network
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",Suricata alerts (signature hits on the wire),moderate,Scan/brute signatures on those ports.,network
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,"Inbound 445/3389/5985-86, rejects/resets, then new outbound sessions.",network
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",kerberos.log,moderate,Kerberos on those inbound sessions.,network
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",ntlm.log,moderate,Auth on those inbound sessions.,network
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",rdp.log,moderate,If 3389 became an RDP session.,network
"Inbound connections to 445, 3389, 5985-5986 with high error/connection-reset rate, followed by new outbound sessions from the same host to internal assets within short interval.",smb_mapping.log (share / tree connects),moderate,If 445 progressed to a tree connect.,network
LDAP Bind/Search,Security Event Log,moderate,Directory Service Access / 4662 can record binds/searches on a DC if audited.,host
LDAP Bind/Search,PCAP / PCAPNG,strong,Bind/search filters are in the packets.,network
LDAP Bind/Search,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Sessions to 389/636. No dedicated ldap.log on the SO list.,network
LDAP Bind/Search,dce_rpc.log (Windows RPC on the wire),moderate,Related AD RPC if the same activity moved off LDAP.,network
LDAP Bind/Search,kerberos.log,moderate,LDAP often bound with Kerberos.,network
LDAP Bind/Search,"ssl.log (TLS handshake: SNI, version, cipher)",moderate,LDAPS handshake to 636.,network
Outbound Connection,SRUM,moderate,That process sent bytes off-host.,host
Outbound Connection,Sysmon Event Log,strong,Event 3 outbound connect.,host
Outbound Connection,Windows Firewall Log,moderate,Outbound allow/block 5-tuple.,host
Outbound Connection,PCAP / PCAPNG,moderate,Payload of those sessions.,network
Outbound Connection,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Outbound sessions.,network
Outbound Connection,"dns.log (DNS queries and responses, passive DNS from the wire)",moderate,Name that preceded the connect.,network
Outbound Connection,"ssl.log (TLS handshake: SNI, version, cipher)",moderate,If the outbound was TLS (SNI).,network
"Outbound resolution to hidden service domains (e.g., `.onion`)",Sysmon Event Log,strong,Event 22 query name is the .onion lookup.,host
"Outbound resolution to hidden service domains (e.g., `.onion`)",PCAP / PCAPNG,moderate,Raw DNS.,network
"Outbound resolution to hidden service domains (e.g., `.onion`)","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Follow-on sessions after resolution.,network
"Outbound resolution to hidden service domains (e.g., `.onion`)","dns.log (DNS queries and responses, passive DNS from the wire)",strong,Query name is the .onion lookup.,network
"Outbound resolution to hidden service domains (e.g., `.onion`)",intel.log (hits on threat-intel indicators),moderate,If .onion indicators are loaded.,network
Process Tree + Script Block Logging,PowerShell Event Log,strong,4104 script block plus 4103.,host
Process Tree + Script Block Logging,PowerShell Transcripts,strong,Script content.,host
Process Tree + Script Block Logging,Security Event Log,strong,4688 process tree.,host
Process Tree + Script Block Logging,Sysmon Event Log,strong,Event 1 process tree.,host
"Process lineage and API usage enrichment (GetSystemTime, GetTimeZoneInformation, NtQuerySystemTime)",Event Trace Logs,strong,Named APIs are ETW/trace.,host
"Process lineage and API usage enrichment (GetSystemTime, GetTimeZoneInformation, NtQuerySystemTime)",Sysmon Event Log,moderate,Lineage only.,host
ScriptBlockLogging + AMSI,PowerShell Event Log,strong,Script block logging.,host
ScriptBlockLogging + AMSI,PowerShell Transcripts,strong,Script content.,host
ScriptBlockLogging + AMSI,Windows Defender,strong,AMSI provider artifacts.,host
ScriptBlockLogging + AMSI,Windows Defender Event Log,strong,AMSI scan events.,host
"Send/Receive: Emails with suspicious sender domains, spoofed headers, or anomalous attachment types",Extracted files (carved from Zeek or Suricata),strong,Carved attachments.,network
"Send/Receive: Emails with suspicious sender domains, spoofed headers, or anomalous attachment types",PCAP / PCAPNG,strong,Full message if not TLS-only.,network
"Send/Receive: Emails with suspicious sender domains, spoofed headers, or anomalous attachment types",Strelka file analysis metadata,moderate,Attachment type/hash analysis.,network
"Send/Receive: Emails with suspicious sender domains, spoofed headers, or anomalous attachment types",Suricata alerts (signature hits on the wire),moderate,Mail/attachment signatures.,network
"Send/Receive: Emails with suspicious sender domains, spoofed headers, or anomalous attachment types","files.log (files observed on the wire: hashes, MIME, size)",strong,Attachments observed on the wire.,network
"Send/Receive: Emails with suspicious sender domains, spoofed headers, or anomalous attachment types",smtp.log,strong,"Envelope, headers, mail from/to on the wire.",network
Send/Receive: Inbound emails containing embedded or shortened URLs,PCAP / PCAPNG,strong,Mail body with the URL.,network
Send/Receive: Inbound emails containing embedded or shortened URLs,"http.log (URLs, User-Agents, Referrers, MIME types, status codes)",moderate,Later fetch of the embedded/short URL.,network
Send/Receive: Inbound emails containing embedded or shortened URLs,smtp.log,strong,Inbound mail and headers on the wire.,network
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,$MFT,moderate,Attachment written to disk.,host
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,LNK files,moderate,If the attachment was an LNK or created one.,host
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,USN Journal ($J),moderate,File create of the attachment.,host
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,Extracted files (carved from Zeek or Suricata),strong,Carved attachment.,network
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,PCAP / PCAPNG,strong,Full message/attachment.,network
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,Strelka file analysis metadata,moderate,Attachment analysis.,network
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,"files.log (files observed on the wire: hashes, MIME, size)",strong,Attachment on the wire.,network
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,pe.log (Windows PE metadata from transferred binaries),moderate,If the attachment was a PE.,network
Send/Receive: Inbound emails with attachments from suspicious or spoofed senders,smtp.log,strong,Sender and inbound mail session.,network
"SendOnBehalf, MessageSend, ClickThrough, MailItemsAccessed",PowerShell Event Log,moderate,If those mailbox operations were done or queried via PowerShell.,host
"SendOnBehalf, MessageSend, ClickThrough, MailItemsAccessed",PowerShell Transcripts,moderate,Same.,host
"SendOnBehalf, MessageSend, ClickThrough, MailItemsAccessed","http.log (URLs, User-Agents, Referrers, MIME types, status codes)",moderate,ClickThrough is an HTTP fetch.,network
"SendOnBehalf, MessageSend, ClickThrough, MailItemsAccessed",smtp.log,moderate,MessageSend may appear as SMTP on the wire. ClickThrough/MailItemsAccessed are mailbox audit.,network
SendOnBehalf/SendAs: Emails sent where the sending identity mismatches account ownership,PowerShell Event Log,moderate,Admin/SendAs cmdlets.,host
SendOnBehalf/SendAs: Emails sent where the sending identity mismatches account ownership,PowerShell Transcripts,moderate,Same.,host
SendOnBehalf/SendAs: Emails sent where the sending identity mismatches account ownership,Security Event Log,moderate,"Auth of the sending session, not the MIME From.",host
SendOnBehalf/SendAs: Emails sent where the sending identity mismatches account ownership,PCAP / PCAPNG,moderate,Full message headers.,network
SendOnBehalf/SendAs: Emails sent where the sending identity mismatches account ownership,smtp.log,strong,MAIL FROM vs header identity on the wire.,network
Service stopped or RecoveryDisabled set via REAgentC,Prefetch,moderate,reagentc.exe execution.,host
Service stopped or RecoveryDisabled set via REAgentC,Services and system configuration stored in the SYSTEM hive,strong,Service/WinRE config.,host
Service stopped or RecoveryDisabled set via REAgentC,System Event Log,strong,Service stop and WinRE related system events.,host
Session Transfer Content,RDP Bitmap Cache,strong,Cached bitmaps are transferred session content.,host
Session Transfer Content,RDP Logs,moderate,Session existed; not the screen content.,host
Session Transfer Content,Terminal Services / RDP Event Logs,moderate,Session connect/disconnect.,host
Session Transfer Content,PCAP / PCAPNG,moderate,RDP stream if you reconstruct session data.,network
Session Transfer Content,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,RDP 5-tuple.,network
Session Transfer Content,rdp.log,moderate,RDP session existed; bitmap cache is still the content store.,network
Set-ADUser or Set-ADAuthenticationPolicy with MFA attributes disabled,PowerShell Event Log,strong,Those cmdlets in 4104.,host
Set-ADUser or Set-ADAuthenticationPolicy with MFA attributes disabled,PowerShell Transcripts,strong,Full cmdlet and parameters.,host
Set-ADUser or Set-ADAuthenticationPolicy with MFA attributes disabled,Security Event Log,moderate,Directory changes (4738/5136) if audited.,host
SetFileTime,$MFT,strong,Changed SI timestamps.,host
SetFileTime,Sysmon Event Log,strong,Event 2 file create time change.,host
SetFileTime,USN Journal ($J),strong,Basic info change.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Brave,strong,Visited URL.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Chrome History / Downloads / Cookies,strong,Visited URL and download.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Edge History / Downloads / Cookies,strong,Visited URL and download.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Firefox History / Downloads / Cookies,strong,Visited URL and download.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Internet Explorer History,strong,Visited URL.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Other Chromium-based browsers collected by the browser targets,strong,Visited URL.,host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",Sysmon Event Log,moderate,"Event 22 has the domain, not path or GET/POST.",host
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",PCAP / PCAPNG,moderate,Full request.,network
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST","dns.log (DNS queries and responses, passive DNS from the wire)",strong,Domain and TLD lookups.,network
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST","http.log (URLs, User-Agents, Referrers, MIME types, status codes)",strong,"URL, method, host, status.",network
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",http2.log,moderate,Same if HTTP/2.,network
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST",intel.log (hits on threat-intel indicators),moderate,Listed bad domains.,network
"Suspicious URL patterns, uncommon TLDs, short-lived domains, URL shorteners; HTTP method GET/POST","ssl.log (TLS handshake: SNI, version, cipher)",moderate,SNI for HTTPS shorteners.,network
Suspicious file execution on removable media path,Amcache.hve,strong,Binary on removable path executed.,host
Suspicious file execution on removable media path,LNK files,moderate,Recent access to the removable file.,host
Suspicious file execution on removable media path,MountedDevices,strong,Drive letter / volume mapping.,host
Suspicious file execution on removable media path,Prefetch,strong,Execution from that path.,host
Suspicious file execution on removable media path,Shimcache (AppCompatCache),strong,OS saw the binary on that path.,host
Suspicious file execution on removable media path,USB Device SetupAPI Logs,strong,When that USB volume arrived.,host
Suspicious file execution on removable media path,USBSTOR,strong,USB device that supplied the path.,host
TCP/UDP,SRUM,moderate,Per-app network usage.,host
TCP/UDP,Security Event Log,moderate,5156/5157 WFP 5-tuple if audited.,host
TCP/UDP,Sysmon Event Log,strong,Event 3 5-tuple.,host
TCP/UDP,Windows Firewall Log,moderate,5-tuple allow/block.,host
TCP/UDP,PCAP / PCAPNG,strong,Those packets.,network
TCP/UDP,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Every TCP/UDP session.,network
TCP/UDP,known_services.log,moderate,Services Zeek has seen on those ports.,network
TLS Handshake/Network Flow,PCAP / PCAPNG,strong,Handshake bytes.,network
TLS Handshake/Network Flow,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,The flow.,network
TLS Handshake/Network Flow,known_certs.log,moderate,Certs Zeek has seen before.,network
TLS Handshake/Network Flow,"ssl.log (TLS handshake: SNI, version, cipher)",strong,TLS handshake fields.,network
TLS Handshake/Network Flow,x509.log (certificate details),strong,Certs from that handshake.,network
TLS handshake + HTTP headers,Chrome History / Downloads / Cookies,moderate,"URL and some request metadata the browser stored, not raw handshake/headers.",host
TLS handshake + HTTP headers,Edge History / Downloads / Cookies,moderate,Same for Edge.,host
TLS handshake + HTTP headers,Firefox History / Downloads / Cookies,moderate,Same for Firefox.,host
TLS handshake + HTTP headers,PCAP / PCAPNG,strong,Handshake plus headers.,network
TLS handshake + HTTP headers,"http.log (URLs, User-Agents, Referrers, MIME types, status codes)",strong,HTTP headers after or beside TLS (or HTTP on 80).,network
TLS handshake + HTTP headers,http2.log,moderate,HTTP/2 headers.,network
TLS handshake + HTTP headers,"ssl.log (TLS handshake: SNI, version, cipher)",strong,Handshake.,network
TLS handshake + HTTP headers,x509.log (certificate details),moderate,Cert presented in the handshake.,network
Task registration/execution shortly after a time discovery event,Prefetch,moderate,schtasks.exe / taskeng execution.,host
Task registration/execution shortly after a time discovery event,Scheduled Tasks,strong,Task definition.,host
Task registration/execution shortly after a time discovery event,Security Event Log,strong,4698/4702 timing.,host
Task registration/execution shortly after a time discovery event,Task Scheduler Event Log,strong,106/200 timing.,host
Token issuance events showing anomalous claims or issuers,Security Event Log,moderate,Logon/Kerberos ticket events; claims/issuer detail is often IdP.,host
Traffic on RPC DRSUAPI,Security Event Log,moderate,Some DC replication / DS events. Not the RPC PDU.,host
Traffic on RPC DRSUAPI,PCAP / PCAPNG,strong,DRSUAPI PDUs.,network
Traffic on RPC DRSUAPI,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,RPC session 5-tuple.,network
Traffic on RPC DRSUAPI,dce_rpc.log (Windows RPC on the wire),strong,DRSUAPI is DCE/RPC on the wire.,network
Transport Rule Modification,PowerShell Event Log,strong,New/Set-TransportRule cmdlets.,host
Transport Rule Modification,PowerShell Transcripts,strong,Full rule change text.,host
Unexpected DLL or component loaded at Office startup,Amcache.hve,strong,DLL present/loaded.,host
Unexpected DLL or component loaded at Office startup,Prefetch,moderate,Office process and referenced files.,host
Unexpected DLL or component loaded at Office startup,Shimcache (AppCompatCache),moderate,OS saw the DLL.,host
Unexpected DLL or component loaded at Office startup,Sysmon Event Log,strong,Event 7 image load into Office.,host
Unexpected DLL or component loaded at Office startup,Windows Defender Event Log,moderate,If CI/AV flagged the DLL.,host
Unsigned or invalid image for newly installed/updated binaries,Amcache.hve,strong,New binary and publisher metadata.,host
Unsigned or invalid image for newly installed/updated binaries,Prefetch,moderate,New binary executed.,host
Unsigned or invalid image for newly installed/updated binaries,Shimcache (AppCompatCache),moderate,OS saw the new image.,host
Unsigned or invalid image for newly installed/updated binaries,Windows Defender,strong,CI/AV product artifacts.,host
Unsigned or invalid image for newly installed/updated binaries,Windows Defender Event Log,strong,Unsigned/invalid image events.,host
Unusual external domain access,Chrome History / Downloads / Cookies,strong,Browser destination.,host
Unusual external domain access,Edge History / Downloads / Cookies,strong,Browser destination.,host
Unusual external domain access,Sysmon Event Log,moderate,Event 22/3 show the domain/connect; unusual is baseline.,host
Unusual external domain access,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Sessions to the resolved hosts.,network
Unusual external domain access,"dns.log (DNS queries and responses, passive DNS from the wire)",strong,The domain query.,network
Unusual external domain access,"http.log (URLs, User-Agents, Referrers, MIME types, status codes)",moderate,If the access was HTTP.,network
Unusual external domain access,intel.log (hits on threat-intel indicators),moderate,If the domain is intel-listed.,network
Unusual external domain access,"ssl.log (TLS handshake: SNI, version, cipher)",moderate,If the access was TLS (SNI).,network
"UserLogin, ConditionalAccessPolicyEvaluated",Security Event Log,moderate,Host logon record. Conditional Access evaluation is Entra/IdP.,host
"VPN, Citrix, or remote access gateway logs showing external IP addresses",PCAP / PCAPNG,moderate,Packets to the gateway.,network
"VPN, Citrix, or remote access gateway logs showing external IP addresses","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Sessions to the gateway. Not the gateway's own client-IP log.,network
"VPN, Citrix, or remote access gateway logs showing external IP addresses","ssl.log (TLS handshake: SNI, version, cipher)",moderate,TLS to the gateway (SNI).,network
Volume Shadow Copy Creation,$MFT,moderate,Shadow copy files under System Volume Information.,host
Volume Shadow Copy Creation,System Event Log,strong,VSS service events.,host
Volume Shadow Copy Creation,USN Journal ($J),moderate,Creates related to snapshot.,host
WMI Object Creation Events,Sysmon Event Log,strong,WMI Event 19/20/21.,host
WMI Object Creation Events,WMI Repository (WBEM),strong,Created WMI objects persist here.,host
Windows Backup Catalog deletion or catalog corruption,$MFT,strong,Catalog files deleted/corrupted.,host
Windows Backup Catalog deletion or catalog corruption,System Event Log,moderate,Backup/VSS errors.,host
Windows Backup Catalog deletion or catalog corruption,USN Journal ($J),strong,Delete/modify of catalog files.,host
"api_call: CreateProcessWithTokenW, CreateProcessAsUserW",Event Trace Logs,strong,Named APIs via ETW.,host
"api_call: CreateProcessWithTokenW, CreateProcessAsUserW",Security Event Log,strong,4688 plus 4624/4648 token logon.,host
"api_call: CreateProcessWithTokenW, CreateProcessAsUserW",Sysmon Event Log,strong,Event 1 with parent/logon context of the spawned process.,host
"api_call: DuplicateTokenEx, ImpersonateLoggedOnUser, SetThreadToken",Event Trace Logs,strong,Named token APIs.,host
"api_call: DuplicateTokenEx, ImpersonateLoggedOnUser, SetThreadToken",Security Event Log,moderate,Privilege/logon events around impersonation.,host
"api_call: DuplicateTokenEx, ImpersonateLoggedOnUser, SetThreadToken",Sysmon Event Log,moderate,"Resulting process/thread behavior, not the API name.",host
"api_call: LogonUser(A|W), LsaLogonUser, SetThreadToken, ImpersonateLoggedOnUser",Event Trace Logs,strong,Named logon/impersonation APIs.,host
"api_call: LogonUser(A|W), LsaLogonUser, SetThreadToken, ImpersonateLoggedOnUser",Security Event Log,strong,The logon those APIs produce (4624/4648).,host
"api_call: LogonUser(A|W), LsaLogonUser, SetThreadToken, ImpersonateLoggedOnUser",Sysmon Event Log,moderate,Follow-on process activity.,host
api_call: UpdateProcThreadAttribute (PROC_THREAD_ATTRIBUTE_PARENT_PROCESS) and CreateProcess* with EXTENDED_STARTUPINFO_PRESENT / StartupInfoEx,Prefetch,moderate,Child image executed.,host
api_call: UpdateProcThreadAttribute (PROC_THREAD_ATTRIBUTE_PARENT_PROCESS) and CreateProcess* with EXTENDED_STARTUPINFO_PRESENT / StartupInfoEx,Security Event Log,moderate,"4688 parent field, weaker than Sysmon.",host
api_call: UpdateProcThreadAttribute (PROC_THREAD_ATTRIBUTE_PARENT_PROCESS) and CreateProcess* with EXTENDED_STARTUPINFO_PRESENT / StartupInfoEx,Sysmon Event Log,strong,Event 1 parent PID vs real parent / parent spoof indicators.,host
dns.log,Sysmon Event Log,moderate,"Event 22 is host DNS, same question different vantage. Not Zeek dns.log.",host
dns.log,PCAP / PCAPNG,moderate,Raw DNS.,network
dns.log,"dns.log (DNS queries and responses, passive DNS from the wire)",strong,This channel is Zeek dns.log.,network
dns.log,intel.log (hits on threat-intel indicators),moderate,Intel hits on queried names.,network
"ftp.log, smb_files.log",FileZilla Client,strong,FTP client logs when FileZilla was used.,host
"ftp.log, smb_files.log",FileZilla Server,strong,FTP server logs if this host served FTP.,host
"ftp.log, smb_files.log",Robo-FTP,strong,Robo-FTP logs.,host
"ftp.log, smb_files.log",Security Event Log,strong,5140/5145 for SMB file access on this host.,host
"ftp.log, smb_files.log",WinSCP,strong,WinSCP session logs for FTP/SFTP.,host
"ftp.log, smb_files.log",Extracted files (carved from Zeek or Suricata),moderate,Carved FTP/SMB files.,network
"ftp.log, smb_files.log",PCAP / PCAPNG,moderate,Those transfers.,network
"ftp.log, smb_files.log","files.log (files observed on the wire: hashes, MIME, size)",moderate,Transferred files logged by Zeek files.,network
"ftp.log, smb_files.log",ftp.log,strong,This channel includes ftp.log.,network
"ftp.log, smb_files.log",smb_cmd.log (SMB commands),moderate,SMB commands around those files.,network
"ftp.log, smb_files.log",smb_files.log (SMB file access),strong,This channel includes smb_files.log.,network
"ftp.log, smb_files.log",smb_mapping.log (share / tree connects),moderate,Share connect that precedes smb_files.,network
"http.log, ftp.log",Chrome History / Downloads / Cookies,moderate,"HTTP URLs the browser fetched, not full http.log.",host
"http.log, ftp.log",Edge History / Downloads / Cookies,moderate,Same for Edge.,host
"http.log, ftp.log",FileZilla Client,strong,FTP if FileZilla was the client.,host
"http.log, ftp.log",Robo-FTP,strong,FTP if Robo-FTP was the client.,host
"http.log, ftp.log",WinSCP,strong,FTP if WinSCP was the client.,host
"http.log, ftp.log",Extracted files (carved from Zeek or Suricata),moderate,Carved files.,network
"http.log, ftp.log",PCAP / PCAPNG,moderate,Those sessions.,network
"http.log, ftp.log","files.log (files observed on the wire: hashes, MIME, size)",moderate,Objects transferred on HTTP/FTP.,network
"http.log, ftp.log",ftp.log,strong,This channel includes ftp.log.,network
"http.log, ftp.log","http.log (URLs, User-Agents, Referrers, MIME types, status codes)",strong,This channel includes http.log.,network
"http.log, ssl.log",Chrome History / Downloads / Cookies,moderate,"HTTPS destinations/URLs, not Zeek HTTP/TLS fields.",host
"http.log, ssl.log",Edge History / Downloads / Cookies,moderate,Same for Edge.,host
"http.log, ssl.log",Firefox History / Downloads / Cookies,moderate,Same for Firefox.,host
"http.log, ssl.log",Sysmon Event Log,moderate,"Event 3/22 show connect and name, not HTTP or TLS handshake fields.",host
"http.log, ssl.log",PCAP / PCAPNG,moderate,Those sessions.,network
"http.log, ssl.log","http.log (URLs, User-Agents, Referrers, MIME types, status codes)",strong,This channel includes http.log.,network
"http.log, ssl.log",http2.log,moderate,HTTP/2 variant of the web session.,network
"http.log, ssl.log","ssl.log (TLS handshake: SNI, version, cipher)",strong,This channel includes ssl.log.,network
"http.log, ssl.log",x509.log (certificate details),moderate,Certs from the TLS side.,network
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",$MFT,moderate,Script file written to disk.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Brave,strong,Same Chromium history/downloads.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Chrome History / Downloads / Cookies,strong,Requested script URL and download.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Edge History / Downloads / Cookies,strong,Same.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Firefox History / Downloads / Cookies,strong,Same.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Internet Explorer History,moderate,"URL visit, weaker content-type.",host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Other Chromium-based browsers collected by the browser targets,strong,Same.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",USN Journal ($J),moderate,Create of the downloaded script.,host
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Extracted files (carved from Zeek or Suricata),strong,Carved script.,network
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",PCAP / PCAPNG,strong,Full JS/body.,network
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",Strelka file analysis metadata,moderate,File analysis of the script.,network
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources","files.log (files observed on the wire: hashes, MIME, size)",strong,"Script object on the wire (MIME, hash, size).",network
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources","http.log (URLs, User-Agents, Referrers, MIME types, status codes)",strong,"URI, content-type, referrer, status.",network
"http.request: HTTP requests and responses for specific script resources, unexpected content-types (application/octet-stream for script URLs), suspicious referrers, or obfuscated javascript resources",http2.log,moderate,Same on HTTP/2.,network
"modification to Winlogon registry keys such as Shell, Notify, or Userinit",Run / RunOnce,moderate,"Related logon persistence, not the Winlogon values themselves.",host
"modification to Winlogon registry keys such as Shell, Notify, or Userinit",SOFTWARE hive,strong,Those values are in SOFTWARE Winlogon.,host
"modification to Winlogon registry keys such as Shell, Notify, or Userinit",Security Event Log,strong,4657 if those keys are audited.,host
"modification to Winlogon registry keys such as Shell, Notify, or Userinit",Sysmon Event Log,strong,Event 13 on those values.,host
new rule allowing inbound or outbound connections for remote desktop software,SYSTEM hive,strong,Firewall policy.,host
new rule allowing inbound or outbound connections for remote desktop software,Windows Firewall Log,strong,2004/2005/2006 rule add/change.,host
new rule allowing inbound or outbound connections for remote desktop software,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,New RDP sessions after the rule exists. Not the rule change itself.,network
new rule allowing inbound or outbound connections for remote desktop software,rdp.log,moderate,RDP metadata if sessions start.,network
port 5900 inbound,Prefetch,moderate,VNC server/client binary executed.,host
port 5900 inbound,Security Event Log,moderate,Logon if VNC triggered an auth event.,host
port 5900 inbound,VNC,strong,VNC product logs/config listen on 5900.,host
port 5900 inbound,Windows Firewall Log,strong,Inbound 5900 allow/block.,host
port 5900 inbound,PCAP / PCAPNG,strong,VNC protocol on that port.,network
port 5900 inbound,Suricata alerts (signature hits on the wire),moderate,VNC signatures.,network
port 5900 inbound,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Inbound sessions to 5900.,network
port 5900 inbound,known_services.log,moderate,Zeek noting VNC/5900.,network
process_start: EventHeader.ProcessId true parent vs reported PPID mismatch,Security Event Log,moderate,4688 parent PID only.,host
process_start: EventHeader.ProcessId true parent vs reported PPID mismatch,Sysmon Event Log,strong,Event 1 parent vs real parent / spoof.,host
query: High-volume LDAP traffic with filters targeting groupPolicyContainer attributes,Group Policy,moderate,GPO objects that were queried.,host
query: High-volume LDAP traffic with filters targeting groupPolicyContainer attributes,Security Event Log,moderate,DS access / 4662 volume on a DC.,host
